County_Name,Project_Number,PointID,Elevation,Latitude83,Longitude83,Hole_Type,Bag_Number,LabID,AASHTO_Symbol,AASHTO_Group_Index,USCS_Symbol,USCS_Group_Name,Max_Dry_Density,Opt_Moisture_Content,Method,CBR,Liquid_Limit,Plastic_Limit,Plasticity_Index,Liquidity,Specific_Gravity,PF3,PF2,PF1,PF3_4,PF3_8,PF4,PF10,PF40,PF200,Pct_Clay,Pct_Colloid
Anderson,R-051-2011,23,825.44,38.01,-84.92,cut profile,,No Gravel,A-7-6,(22),CL,LEAN CLAY,104.60,17.00,T99A,3.50,41.56,17.53,24.00,0.40,2.72,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.77,88.95,41.99,37.20
Anderson,R-051-2011,23,825.44,38.01,-84.92,cut profile,,No Gravel,A-7-6,(47),CH,FAT CLAY,102.90,21.60,T99A,0.50,64.55,23.08,42.00,0.27,2.73,100.00,100.00,100.00,100.00,100.00,100.00,100.00,99.34,98.04,70.23,63.51
Anderson,R-051-2011,23,825.44,38.01,-84.92,cut profile,,No Gravel,A-7-5,(49),CH,FAT CLAY,103.50,19.50,T99A,1.60,76.01,31.07,45.00,0.15,2.78,100.00,100.00,100.00,100.00,100.00,100.00,100.00,98.25,93.06,66.35,61.34
Anderson,R-051-2011,27,833.95,38.01,-84.92,cut profile,,No Gravel,A-7-6,(31),CH,FAT CLAY,104.80,20.80,T99A,1.60,51.28,20.47,31.00,0.04,2.78,100.00,100.00,100.00,100.00,100.00,100.00,100.00,96.35,93.13,49.24,42.53
Anderson,R-051-2011,27,833.95,38.01,-84.92,cut profile,,With Gravel,A-6,(12),CL,SANDY LEAN CLAY,119.40,13.90,T99C,2.90,37.05,15.00,22.00,-0.33,2.80,100.00,100.00,100.00,100.00,92.74,89.47,82.38,74.00,66.62,32.59,26.54
Anderson,R-051-2011,32,858.65,38.01,-84.91,cut profile,,No Gravel,A-7-6,(34),CH,FAT CLAY,101.30,20.70,T99A,2.00,52.64,19.76,33.00,0.03,2.74,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.42,95.29,48.92,43.79
Anderson,R-051-2011,32,858.65,38.01,-84.91,cut profile,,With Gravel,A-6,(17),CL,LEAN CLAY with SAND,111.00,16.70,T99C,1.60,39.23,18.23,21.00,-0.19,2.81,100.00,100.00,100.00,100.00,96.98,93.96,91.43,86.29,83.16,44.70,35.30
Anderson,R-051-2011,35,822.85,38.01,-84.91,cut profile,,No Gravel,A-7-6,(29),CL,LEAN CLAY,101.00,17.70,T99A,3.00,46.86,19.20,28.00,0.32,2.75,100.00,100.00,100.00,100.00,100.00,100.00,100.00,98.08,95.60,43.31,36.57
Anderson,R-051-2011,35,822.85,38.01,-84.91,cut profile,,No Gravel,A-7-6,(24),CL,LEAN CLAY,107.50,19.50,T99A,1.80,44.37,18.93,25.00,0.20,2.82,100.00,100.00,100.00,100.00,100.00,100.00,100.00,96.03,90.92,43.54,35.31
Anderson,R-051-2011,42,840.09,38.01,-84.91,cut profile,,With Gravel,A-7-6,(11),CL,LEAN CLAY with SAND,107.40,17.60,T99C,3.90,41.20,23.67,17.00,-0.32,2.70,100.00,100.00,100.00,97.47,89.92,86.34,83.05,76.95,71.30,30.25,22.70
Anderson,R-051-2011,42,840.09,38.01,-84.91,cut profile,,With Gravel,A-7-6,(21),CH,FAT CLAY with SAND,110.60,17.90,T99C,2.40,49.50,19.83,30.00,1.09767913818359e-03,2.76,100.00,100.00,100.00,98.71,91.73,86.62,82.76,77.41,72.75,39.98,33.06
Anderson,R-051-2011,43,831.78,38.01,-84.92,cut profile,,No Gravel,A-7-6,(30),CL,LEAN CLAY,105.20,19.50,T99A,2.80,48.38,17.87,30.00,0.26,2.79,100.00,100.00,100.00,100.00,100.00,100.00,100.00,96.57,93.15,41.66,36.65
Anderson,R-051-2011,43,831.78,38.01,-84.92,cut profile,,With Gravel,A-7-6,(14),CL,SANDY LEAN CLAY,112.50,15.80,T99C,2.60,41.19,17.29,24.00,-0.20,2.79,100.00,100.00,100.00,100.00,94.34,89.64,84.94,75.71,67.01,35.99,30.39
Barren,R-017-2014,13,653.30,36.97,-85.93,cut profile,,With Gravel,A-6,(5),CL,SANDY LEAN CLAY,114.60,13.40,T99C,15.40,30.16,17.95,12.00,0.15,2.73,100.00,100.00,100.00,94.62,90.48,85.73,79.32,69.93,63.38,17.18,13.37
